q,t,time_s,decoded,expected,ok,best_overlap,second_overlap,contrast,near_plus,near_minus,energy
5,97,6.472980503347567e-8,2,2,1,0.954207345680955,0.010252348924605663,93.0720708686431,0.010703055197068457,0.005833602133101648,25.13274122871821
5,98,6.539712261114038e-8,3,3,1,0.9544492321141016,0.010224269864982352,93.35133410191428,0.19299877171159135,0.0021620690042435213,25.13274122871829
5,99,6.606444018880507e-8,4,4,1,0.9545774193495487,0.01020397244668073,93.54958809792406,0.000655549283908526,0.6187910739928768,25.132741228718235
5,100,6.673175776646977e-8,0,0,1,0.9487864065222561,0.010199011373751687,93.02729173967445,0.7199487481882704,0.000358910807146054,25.132741228718388
5,101,6.739907534413447e-8,1,1,1,0.9490413410136334,0.01019668897544655,93.07348133290212,0.0008003863365470993,0.38062309766097674,25.132741228718295
5,102,6.806639292179917e-8,2,2,1,0.949446602593939,0.011142090656753952,85.2126079245655,0.011618882195717736,0.006228795669419935,25.132741228718235
5,103,6.873371049946386e-8,3,3,1,0.9497005434358747,0.011110394057440267,85.47856525393817,0.1894888079369971,0.002405545700052609,25.13274122871825
5,104,6.940102807712857e-8,4,4,1,0.9498347763659268,0.01108776537221253,85.66512227489444,0.0007232422367827293,0.6186633214576785,25.13274122871846
5,105,7.006834565479326e-8,0,0,1,0.9438022058194996,0.011082245487142416,85.163445162309,0.7183029083893309,0.0003873930293199492,25.132741228718384
5,106,7.073566323245796e-8,1,1,1,0.9440615330156868,0.011079848131433515,85.20527734828653,0.0008611499815774491,0.38385753550082385,25.132741228718398
5,107,7.140298081012265e-8,2,2,1,0.9444818636564238,0.012061472128793167,78.30568719731608,0.01257303201203892,0.006640454477942073,25.132741228718267
5,108,7.207029838778735e-8,3,3,1,0.9447475720946389,0.0120261083077068,78.55804620429102,0.1860390595266397,0.002662677318544785,25.132741228718256
5,109,7.273761596545205e-8,4,4,1,0.9448876379081438,0.012001187577502726,78.7328447127531,0.0007939289547216705,0.6184344352859387,25.132741228718317
5,110,7.340493354311674e-8,0,0,1,0.9386187566464055,0.011995133100531411,78.24996594700751,0.7165571619267946,0.00041664898321534745,25.13274122871821
5,111,7.407225112078145e-8,1,1,1,0.9388822267070895,0.011992674935836892,78.28797426181309,0.0009236036996983772,0.3870410044630971,25.13274122871834
5,112,7.473956869844614e-8,2,2,1,0.9393172424719025,0.01300946399186158,72.20260904365604,0.013565407181321973,0.007068375580899704,25.132741228718125
5,113,7.540688627611084e-8,3,3,1,0.9395944239480108,0.012970397083092673,72.441454022468,0.18264926172410464,0.002933539705464166,25.132741228718366
5,114,7.607420385377553e-8,4,4,1,0.9397401017085512,0.012943236148572615,72.60472504105444,0.0008675584795757457,0.6181053848801124,25.132741228718494
5,115,7.674152143144024e-8,0,0,1,0.9332401629651651,0.01293667523509593,72.1391042138382,0.7147126282137337,0.00044668355587435655,25.132741228718196
5,116,7.740883900910493e-8,1,1,1,0.9335075492917602,0.0129341708152973,72.17374523828747,0.0009877216578048401,0.3901724415159745,25.13274122871846
5,117,7.807615658676963e-8,2,2,1,0.9339568784240874,0.013985048589818357,66.78252652651084,0.014595890298168069,0.007512333996547572,25.132741228718295
5,118,7.874347416443433e-8,3,3,1,0.934245230603717,0.013942255696242438,67.00818367974017,0.17931926078019975,0.00321820633972951,25.132741228718253
5,119,7.941079174209903e-8,4,4,1,0.9343962921624194,0.013912917797529583,67.16034017884684,0.0009440847744408898,0.6176770909698308,25.132741228718395
5,120,8.007810931976372e-8,0,0,1,0.9276705629048791,0.013905882080650954,66.71065938317331,0.7127704569192597,0.00047750497927187676,25.13274122871834
5,121,8.074542689742843e-8,1,1,1,0.9279416589597325,0.01390334629417228,66.74232514432069,0.0010534803502628644,0.39325086122425207,25.1327412287183
5,122,8.141274447509312e-8,2,2,1,0.9284049394250075,0.014987219785039923,61.9464418845536,0.01566434220711963,0.007972085290716895,25.132741228718313
5,123,8.208006205275782e-8,3,3,1,0.9287041522566823,0.01494069021595116,62.15938747362341,0.17604899035012989,0.003516748015445971,25.132741228718324
5,124,8.274737963042251e-8,4,4,1,0.9288603631879745,0.014909248876801298,62.300949622839525,0.001023466831377585,0.6171504374100973,25.13274122871834
5,125,8.341469720808722e-8,0,0,1,0.9219141298963539,0.014901773046395086,61.86606969694628,0.710731834711124,0.0005091248149393573,25.13274122871829
5,126,8.408201478575191e-8,1,1,1,0.9221887465813791,0.01489922105068352,61.895097968163405,0.001120858774633291,0.39627534416543786,25.132741228718245
5,127,8.474933236341661e-8,2,2,1,0.9226656239997584,0.016014982911926056,57.61265117009064,0.016770600585785132,0.008447367652644465,25.132741228718213
5,128,8.54166499410813e-8,3,3,1,0.9229753798623448,0.015964717488177765,57.81344897244996,0.17283845253164737,0.0038292325424071506,25.13274122871838
5,129,8.6083967518746e-8,4,4,1,0.9231365004073612,0.015931255490006624,57.94499378824395,0.0011056687120840388,0.6165262814916431,25.132741228718253
5,130,8.67512850964107e-8,0,0,1,0.9159750734437331,0.01592337690545691,57.523920892045844,0.7085979902173467,0.0005415579297022193,25.132741228718345
5,131,8.741860267407539e-8,1,1,1,0.9162530369183068,0.01592082406714751,57.55060372842053,0.0011898385555330114,0.39924502741612866,25.1327412287184
5,132,8.80859202517401e-8,2,2,1,0.9167431628249302,0.017067354828056557,53.713253873290384,0.017914478851128467,0.008937903600599453,25.13274122871815
5,133,8.875323782940479e-8,3,3,1,0.9170631367580144,0.017013365241486993,53.902512744613354,0.16968770251815363,0.004155724471173461,25.132741228718313
5,134,8.94205554070695e-8,4,4,1,0.9172289227624902,0.01697797367621419,54.02464041085834,0.0011906595443300525,0.6158054629550589,25.132741228718057
5,135,9.008787298473418e-8,0,0,1,0.9098576395785001,0.016969732010167982,53.616500191831456,0.7063701976175425,0.0005748224607050042,25.132741228718366
5,136,9.075519056239889e-8,1,1,1,0.910138789425296,0.016967193850965272,53.64109100300742,0.0012604040237227726,0.40215909673749534,25.132741228718267
5,137,9.142250814006358e-8,2,2,1,0.9106418198068282,0.018143364039300027,50.19145390206043,0.01909576533383149,0.00944340139806309,25.13274122871829
5,138,9.208982571772829e-8,3,3,1,0.9109716798163197,0.018085672256392182,50.36979919252638,0.1665968360915822,0.004496284847185505,25.132741228718302
5,139,9.275714329539298e-8,4,4,1,0.9111418836519036,0.018048449648984586,50.48311081407288,0.001278413490260952,0.6149888118750665,25.132741228718324
5,140,9.342446087305768e-8,0,0,1,0.9035661110313867,0.01803988655964606,50.087128211360245,0.7040497791645971,0.0006089397695056837,25.13274122871842
5,141,9.409177845072237e-8,1,1,1,0.9038502986997571,0.018037378707771123,50.10984763048454,0.0013325422572397112,0.40501678015925013,25.13274122871826
5,142,9.475909602838708e-8,2,2,1,0.9043658927655532,0.01924205088002552,46.999454393104365,0.02031422267680877,0.009963556242760347,25.132741228718306
5,143,9.542641360605177e-8,3,3,1,0.9047053001949282,0.01918068858207717,47.16750894127458,0.16356597936341793,0.0048509709966654295,25.132741228718352
5,144,9.609373118371647e-8,4,4,1,0.904879671655499,0.019141740075198466,47.272592152054756,0.0013689096976781685,0.6140771555585084,25.132741228718285
5,145,9.676104876138116e-8,0,0,1,0.8971048071499106,0.01913289890486678,46.88807543543319,0.7016381068604033,0.0006439343859336121,25.132741228718388
5,146,9.742836633904587e-8,1,1,1,0.8973918946226397,0.01913043705180699,46.90911620013801,0.0014062430908255135,0.4078173427171238,25.13274122871833
5,147,9.809568391671056e-8,2,2,1,0.8979197137758674,0.020362467733279464,44.09680229024253,0.021569587422637274,0.010498051276928076,25.132741228718235
5,148,9.876300149437527e-8,3,3,1,0.8982683237339992,0.020297475787106133,44.25517404999786,0.16059528030825856,0.00521983634549793,25.132741228718302
5,149,9.943031907203996e-8,4,4,1,0.8984466108996769,0.02025691238147635,44.35259401730191,0.0014621322417334587,0.6130713245792505,25.13274122871811
5,150,1.0009763664970465e-7,0,0,1,0.8904780835847385,0.02024783787921074,43.9789220408085,0.6991366034547,0.0006798339428825627,25.132741228718356
5,151,1.0076495422736935e-7,1,1,1,0.8907679422257403,0.020245437741431428,43.99845306396224,0.0014814990992234847,0.41056008214347545,25.13274122871838
5,152,1.0143227180503404e-7,2,2,1,0.8913076492059681,0.021503679278679928,41.44907658149763,0.022861569761399487,0.011046558456607304,25.13274122871841
5,153,1.0209958938269875e-7,3,3,1,0.8916651110418776,0.021435107233175186,41.59835084295005,0.15768490173622204,0.0056029302709723686,25.13274122871824
5,154,1.0276690696036344e-7,4,4,1,0.8918470611059964,0.021393045078213848,41.688644970613915,0.0015580700618291919,0.611972158055866,25.13274122871818
5,155,1.0343422453802815e-7,0,0,1,0.883690331764469,0.021383783144685125,41.325256891417155,0.6965467428966372,0.0007166691034176759,25.132741228718352
5,156,1.0410154211569284e-7,1,1,1,0.8839828413142747,0.021381460429915282,41.34342666684613,0.0015583055592271646,0.4132443253469427,25.132741228718302
5,157,1.0476885969335754e-7,2,2,1,0.8845340994874487,0.02266476275803121,39.026841310042656,0.024189853415662897,0.011608739309606129,25.132741228718253
5,158,1.0543617727102223e-7,3,3,1,0.8849000573035893,0.022592668362910694,39.16757609545084,0.15483501542763797,0.0060002979852426495,25.132741228718235
5,159,1.0610349484868694e-7,4,4,1,0.885085417358678,0.022549228093029186,39.251251249362774,0.0016567168966446868,0.6107805082628729,25.132741228718334
5,160,1.0677081242635163e-7,0,0,1,0.8767459781760005,0.022539825545769963,38.897638155879115,0.6938700503395184,0.0007544734816196401,25.132741228718174
5,161,1.0743813000401633e-7,1,1,1,0.8770410258687201,0.022537595923461076,38.91457761720461,0.0016366603947070288,0.41586942554642115,25.132741228718288
5,162,1.0810544758168102e-7,2,2,1,0.8776034986445506,0.023844808250464308,36.80480419159847,0.025554095643390434,0.01218424560547343,25.13274122871837
5,163,1.0877276515934573e-7,3,3,1,0.8779775918407212,0.02376925699427894,36.93752783488533,0.15204579721233283,0.0064119804486118745,25.132741228718245
5,164,1.0944008273701042e-7,4,4,1,0.8781661096210726,0.02372456310683783,37.01505927280785,0.0017580712189087394,0.6094972446533989,25.13274122871824
5,165,1.1010740031467513e-7,0,0,1,0.8696494834660151,0.023715067464267256,36.67075730551313,0.691108101777794,0.0007932835585389248,25.132741228718363
5,166,1.1077471789233982e-7,1,1,1,0.8699469632471162,0.02371294653981725,36.68658223415456,0.0017165641082431335,0.41843475994888046,25.13274122871848
5,167,1.1144203547000452e-7,2,2,1,0.870520313606844,0.025042918950350265,34.761136085323166,0.026953927342769496,0.012772719955910854,25.13274122871819
5,168,1.1210935304766921e-7,3,3,1,0.8709021774476562,0.02496398361545122,34.88634630046062,0.14931742282112515,0.006838014310241252,25.13274122871821
5,169,1.1277667062533392e-7,4,4,1,0.8710936020270265,0.024918163886942728,34.95817773650188,0.001862136170657713,0.6081232573604505,25.13274122871821
5,170,1.1344398820299861e-7,0,0,1,0.8624053413776674,0.02490862316967643,34.62276238646354,0.6882625233789861,0.0008331385945300761,25.13274122871836
5,171,1.141113057806633e-7,1,1,1,0.862705153205979,0.02490662646201544,34.637575446906546,0.0017980197024549081,0.4209397278800454,25.132741228718256
5,172,1.14778623358328e-7,2,2,1,0.863289043326283,0.026258211442408714,32.87691719672937,0.02838895324547307,0.013373796360196087,25.132741228718334
5,173,1.154459409359927e-7,3,3,1,0.8636783095261242,0.026175971675010876,32.99508114728908,0.14665006437225267,0.0072784318735770095,25.1327412287182
5,174,1.161132585136574e-7,4,4,1,0.8638723919695958,0.026129156612480872,33.06162555422695,0.0019689194991392104,0.606659460234562,25.132741228718423
5,175,1.1678057609132209e-7,0,0,1,0.8550180775357481,0.026119619160571098,32.734706899036325,0.6853349905609896,0.0008740805391073065,25.132741228718256
5,176,1.174478936689868e-7,1,1,1,0.8553201267563825,0.026117762082728566,32.74859936495086,0.0018810325936463811,0.42338374929315437,25.132741228718174
5,177,1.1811521124665149e-7,2,2,1,0.8559142177173658,0.027489815969402833,31.13568379904869,0.029858752186879608,0.013987100707152722,25.132741228718192
5,178,1.1878252882431619e-7,3,3,1,0.8563105150373383,0.027404357863263725,31.247238826392845,0.1440438873828159,0.007733261083640886,25.132741228718224
5,179,1.194498464019809e-7,4,4,1,0.8565070090074556,0.02735668018837438,31.308879699936718,0.002078433493157216,0.60510679346799,25.132741228718423
