mask,cellPx,pitchPx,cells,G0,s,Ia,seed,t,ber,on_min,on_median,off_max,false_activation,bg_max,lyapunov_at_end
none,3,6,49,1.9,-0.6,0.05,3,10,0.12244897959183673,0.0008772781260815045,0.5441989781921421,0.008750797949704025,0,0.831350904727648,NaN
none,3,6,49,1.9,-0.6,0.05,3,30,0.20408163265306123,0.000031942437179938084,0.560208548679664,0.006048237567455005,0,1.2800629271556283,NaN
none,3,6,49,1.9,-0.6,0.05,3,100,0.20408163265306123,0.000013572638142703523,0.42776289732514,0.07678431723222451,0,1.4999298226778863,NaN
none,3,6,49,1.9,-0.6,0.05,3,300,0.30612244897959184,0.000010373612917509729,0.1177770817711454,0.41658480212151205,0.08333333333333333,1.613525603549102,NaN
none,3,6,49,1.9,-0.6,0.05,3,1000,0.3877551020408163,0.000016624026478839583,0.0010266931917151832,0.6798218480667386,0.125,1.712562317022176,NaN
none,3,6,49,1.9,-0.6,0.05,3,1500,0.3877551020408163,0.000012796366621652464,0.0003910833547446427,0.7479221823818633,0.125,1.5577355714355507,NaN
none,3,6,49,2.2,-0.8,0.3,1,1,0.02040816326530612,0.07603904843993309,0.7977903834044505,0.018343691111111712,0,0.5857964627934328,NaN
none,3,6,49,2.2,-0.8,0.3,1,3,0.12244897959183673,0.006147599025611528,0.46578497672164243,0.006501051085944011,0,0.39392990448180865,NaN
none,3,6,49,2.2,-0.8,0.3,1,10,0.4897959183673469,0.000006569186456558906,0.00534463182048646,0.001152521049272568,0,0.06084681266811357,NaN
none,3,6,49,2.2,-0.8,0.3,1,30,0.5918367346938775,1.0181498582300458e-14,4.055906448124505e-13,2.3601949108466334e-12,0,7.745066012102102e-11,NaN
none,3,6,49,2.2,-0.8,0.3,1,100,0.5918367346938775,4.6968263621112555e-51,1.3307515907813488e-49,1.2379710535190447e-48,0,4.392401801015332e-47,NaN
none,3,6,49,2.2,-0.8,0.3,1,300,0.5918367346938775,3.224422851696094e-155,1.09680793791857e-153,2.1804872302372e-152,0,3.977834542459211e-151,NaN
none,3,6,49,2.2,-0.8,0.3,1,1000,0.5918367346938775,0,0,0,0,0,NaN
none,3,6,49,2.2,-0.8,0.3,1,1500,0.5918367346938775,0,0,0,0,0,NaN
