mask,cellPx,pitchPx,cells,G0,s,Ia,seed,t,ber,on_min,on_median,off_max,false_activation,bg_max,lyapunov_at_end
moat,3,6,49,3,-0.6,0.05,2,100,0.3469387755102041,0.0010019621830447427,0.9061324545717658,2.938371206600329,0.25,0.39920864289130364,NaN
moat,3,6,49,3,-0.6,0.05,2,300,0.3673469387755102,0.0008462264842191119,0.874223446861908,3.312662213334152,0.2916666666666667,0.4184911150748484,NaN
moat,3,6,49,3,-0.6,0.05,2,1000,0.3673469387755102,0.0006310895377577611,0.8776997176979274,3.3665790097836514,0.2916666666666667,0.4014226077566113,NaN
moat,3,6,49,3,-0.6,0.05,2,1500,0.3673469387755102,0.0007409165050721864,0.9043635463270542,3.3145499422408693,0.2916666666666667,0.40030471499805925,NaN
moat,3,6,49,3,-0.6,0.05,3,1,0.061224489795918366,0.08980510614646059,0.8070368598011448,0.023782608142837346,0,0.7994487098275671,NaN
moat,3,6,49,3,-0.6,0.05,3,3,0.24489795918367346,0.0002699586237854647,0.25387465684900734,0.03132033311496091,0,0.33724868994099255,NaN
moat,3,6,49,3,-0.6,0.05,3,10,0.3469387755102041,0.00015867238546177535,0.008178201093613988,0.323571524735339,0.041666666666666664,0.3130587676720248,NaN
moat,3,6,49,3,-0.6,0.05,3,30,0.42857142857142855,0.0001852027770243404,0.0030915737810559545,3.176497284523231,0.20833333333333334,0.3589394326282661,NaN
moat,3,6,49,3,-0.6,0.05,3,100,0.5306122448979592,0.0002592927617729548,0.0048643514085014395,3.687389780882914,0.4166666666666667,0.4030296710447829,NaN
moat,3,6,49,3,-0.6,0.05,3,300,0.5714285714285714,0.0004200836506274313,0.007147067122656745,3.5740441319929253,0.5,0.4098004366514112,NaN
moat,3,6,49,3,-0.6,0.05,3,1000,0.5918367346938775,0.0002322576277374864,0.007184687549075334,3.7718352508154984,0.5416666666666666,0.4063751956062827,NaN
moat,3,6,49,3,-0.6,0.05,3,1500,0.5714285714285714,0.0001783595780798478,0.007304399327403857,3.686124662777453,0.5,0.4009025340686239,NaN
moat,3,6,49,3,-0.8,0.3,1,1,0.02040816326530612,0.09356624034482565,0.9816830732354315,0.022571958046915128,0,0.720824020755293,NaN
moat,3,6,49,3,-0.8,0.3,1,3,0.2857142857142857,0.0015909594183509356,0.31991156947464455,0.018426988077833696,0,0.30366125792600995,NaN
moat,3,6,49,3,-0.8,0.3,1,10,0.3877551020408163,0.00003039372681355117,0.0019442200473241173,0.012504101083292446,0,0.13974475810428055,NaN
moat,3,6,49,3,-0.8,0.3,1,30,0.4897959183673469,0.000025819061804731964,0.00038703271774961077,0.005111079771688275,0,0.13457823589023546,NaN
moat,3,6,49,3,-0.8,0.3,1,100,0.4897959183673469,0.000021627761275430303,0.0003913650533085907,0.006781391845451239,0,0.15558042299844638,NaN
moat,3,6,49,3,-0.8,0.3,1,300,0.4897959183673469,0.000021115640726121082,0.00040438862095394716,0.007974809418235008,0,0.174069838475189,NaN
moat,3,6,49,3,-0.8,0.3,1,1000,0.4897959183673469,0.000022250203074128597,0.0004014548080011912,0.007927405076516354,0,0.17559603469304552,NaN
moat,3,6,49,3,-0.8,0.3,1,1500,0.4897959183673469,0.000022254011449061914,0.0004014449347177688,0.007927162647028217,0,0.17559994794686645,NaN
moat,3,6,49,3,-0.8,0.3,2,1,0.061224489795918366,0.09143309141471608,1.2836741744846796,0.022177097553151653,0,0.6306687762189198,NaN
moat,3,6,49,3,-0.8,0.3,2,3,0.20408163265306123,0.0019114417096309398,0.7339772021718487,0.02187833187724987,0,0.3245959117345024,NaN
moat,3,6,49,3,-0.8,0.3,2,10,0.32653061224489793,0.0001347209554462223,0.0325579681554946,0.011823272446962345,0,0.1392649880202713,NaN
moat,3,6,49,3,-0.8,0.3,2,30,0.3877551020408163,0.00001990841004230543,0.0005086841500812653,0.005228401301674877,0,0.1266334744336997,NaN
moat,3,6,49,3,-0.8,0.3,2,100,0.3877551020408163,0.00005103824001396095,0.0005221480348939229,0.005155351226548725,0,0.1312856383004956,NaN
moat,3,6,49,3,-0.8,0.3,2,300,0.3877551020408163,0.00001004255729038371,0.0009738568414125984,0.007908940736631127,0,0.16014905616502062,NaN
moat,3,6,49,3,-0.8,0.3,2,1000,0.3877551020408163,0.000007835627638043137,0.0009263751845217624,0.008187549092796086,0,0.1645339738140718,NaN
moat,3,6,49,3,-0.8,0.3,2,1500,0.3877551020408163,0.000007835550512221789,0.0009263739784025862,0.00818754237131173,0,0.16453416975861593,NaN
moat,3,6,49,3,-0.8,0.3,3,1,0.061224489795918366,0.08186603279063719,0.7356920877080586,0.021680145613247274,0,0.7287747557075368,NaN
moat,3,6,49,3,-0.8,0.3,3,3,0.30612244897959184,0.00017155444478693222,0.13238956927468842,0.013308780957010782,0,0.2658003924607479,NaN
moat,3,6,49,3,-0.8,0.3,3,10,0.3673469387755102,0.00003958735904175716,0.0005031339721865629,0.006993909288727122,0,0.12217850269562802,NaN
moat,3,6,49,3,-0.8,0.3,3,30,0.3877551020408163,0.000018068866710236533,0.00017914323467585578,0.006257208630062701,0,0.13144801015000201,NaN
moat,3,6,49,3,-0.8,0.3,3,100,0.3877551020408163,0.00003309801156674021,0.00024373850411726105,0.00928182954383026,0,0.16747071753917883,NaN
moat,3,6,49,3,-0.8,0.3,3,300,0.3877551020408163,0.00003920133899367845,0.0002869536392994521,0.010939815576335539,0,0.17621692050343887,NaN
moat,3,6,49,3,-0.8,0.3,3,1000,0.3877551020408163,0.00003883292889959776,0.00028760176369702685,0.010980060901456383,0,0.17621510840497967,NaN
moat,3,6,49,3,-0.8,0.3,3,1500,0.3877551020408163,0.000038832276396183864,0.000287602214867302,0.01098007247341907,0,0.1762147677836699,NaN
moat,3,6,49,3.8,-0.6,0.05,1,1,0.02040816326530612,0.12112953429275201,1.2708730525652818,0.02922133833979112,0,0.9331686046092813,NaN
moat,3,6,49,3.8,-0.6,0.05,1,3,0.14285714285714285,0.004162561870234917,0.8091207242989275,0.07438435778062458,0,0.5776335085939855,NaN
