cellPx,gapPx,pitch_um,cells,states_per_mm2,G0,s,Ia,dark,seed,t,ber,on_min,on_mean,off_max,false_activation,energy,lyapunov_at_end,fixed_point_residual
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,3,1,0,2.537923966375278,2.619948649616539,0.005106755937637244,0,180.7893069829518,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,3,3,0,3.710512452710944,3.92958326270028,0.012738288507717252,0,265.50571293418824,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,3,10,0,5.196275911522999,5.590192801371208,0.03342726639100846,0,376.8420498052565,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,3,30,0.1111111111111111,5.395577529419428,5.7588302086866126,6.240689760270405,0.5,447.74810788072085,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,3,100,0.2222222222222222,5.449689318255083,5.796439674369545,6.700304405265853,1,504.6171605256603,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,3,300,0.2222222222222222,5.486913328406494,5.843697171351709,6.642594207665464,1,506.609755654313,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,3,1000,0.2222222222222222,5.504906853292416,5.864009012552971,6.633766660814259,1,507.4278237404626,NaN,NaN
3,3,120,9,69.44444444444444,5,-0.8,0.2,0.001,3,3000,0.2222222222222222,5.505434097306007,5.864584833821604,6.633746617358362,1,507.45197632589037,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,1,1,0,3.1033809736752156,3.1719224538899122,0.0075599605132171755,0,93.95732064848595,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,1,3,0,5.276723818981515,5.476249517649148,0.05630051443948365,0,159.82438275092392,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,1,10,0.4444444444444444,7.731465971874808,8.117625859300526,3.8702939248173567,0.6666666666666666,320.88413978144905,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,1,30,0.6666666666666666,7.88401054358552,8.172852394414944,8.996387766265684,1,698.8247731151564,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,1,100,0.6666666666666666,7.9477552995233145,8.290846299480869,8.983839578636292,1,703.3127817525452,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,1,300,0.6666666666666666,8.019279271560215,8.39833846782797,9.136356730854315,1,710.7358820766099,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,1,1000,0.6666666666666666,8.019506942459333,8.360934959577262,9.24116548682548,1,713.1831647680266,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,1,3000,0.6666666666666666,8.020348734870858,8.355285049051748,9.241877840347271,1,713.305041336334,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,2,1,0,3.0596167080137917,3.1409462942963273,0.004940233989495327,0,124.56893414603621,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,2,3,0,5.172599981268244,5.392058741339298,0.032876365282016366,0,209.63452112966675,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,2,10,0.5555555555555556,7.520684955332296,7.927943925650549,4.282671417947679,1,423.8421510189719,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,2,30,0.5555555555555556,7.694855543953488,8.012418974746742,9.29816699925397,1,708.0339978781723,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,2,100,0.5555555555555556,7.71756490040696,8.05455238922119,9.2875838084003,1,710.1195113028735,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,2,300,0.5555555555555556,7.751110496665023,8.118088297494934,9.256775290099982,1,712.4577586700279,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,2,1000,0.5555555555555556,7.767000973643314,8.144840656820685,9.2424489943865,1,713.3166740743009,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,2,3000,0.5555555555555556,7.7668548229315935,8.144800669030388,9.241879232471298,1,713.305156193156,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,3,1,0,3.0876107296427233,3.187401068292221,0.006212823802296676,0,219.94630707651888,NaN,NaN
3,3,120,9,69.44444444444444,6,-0.6,0.05,0.001,3,3,0,5.207605425832665,5.492612696164754,0.03577051524237142,0,371.59199288698363,NaN,NaN
