mask,cellPx,pitchPx,cells,kerr,G0,s,T,seed,lyapunov,energy_final_rel,mean_cell_I,max_cell_I,pattern_corr_T_vs_0,pattern_corr_T_vs_half,ber,fill_fraction,input_response,pulse_cell_final_I,thr,class,analytic
zero,2.0,4.0,12.0,0.0,2.2,-0.6,3000.0,7.0,6.212479029377822e-05,11.107775093260345,1.6395052431201809,2.6295750763456365,-0.09025029951579512,0.9662741059826062,0.5902777777777778,0.6005859375,0.0003886419897419837,0.3497498820898252,0.7888725229036909,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.2,-0.8,3000.0,7.0,-0.0002476813390596269,9.431206615530115,1.5419854677697513,2.5027906245716336,-0.057068239269560075,0.9882397825715759,0.5833333333333334,0.478515625,0.0005520669169731948,0.26215447044040385,0.7508371873714901,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.4,-0.2,3000.0,7.0,0.0012747221640802555,17.146442248009755,2.28444908955931,3.8865603300410645,-0.048363587283286345,0.9179789728847125,0.5902777777777778,0.7568359375,0.005495611036639053,0.8776765740191087,1.1659680990123193,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,2.4,-0.4,3000.0,7.0,-3.469105017787933e-07,16.56318682621674,2.2025265112416026,3.788647623815464,-0.09245425092367326,0.9188113514971995,0.6041666666666666,0.74853515625,0.0015730122743174962,0.6068023512078469,1.136594287144639,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.4,-0.6,3000.0,7.0,0.0009652372051171779,16.176062389241412,2.1778085812423043,3.6259340813148286,-0.044972966166194624,0.9593340173460926,0.6111111111111112,0.736572265625,0.010022854477659701,0.6688966504567851,1.0877802243944485,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.4,-0.8,3000.0,7.0,0.0005337189395955901,15.70402439464003,2.1428642899488026,3.3437526524402807,-0.08175163765546473,0.9753099196368651,0.5902777777777778,0.720458984375,0.0004098332386698004,0.6436538478577687,1.0031257957320843,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.6,-0.2,3000.0,7.0,0.000695948312821432,21.53486596823659,2.789622909267786,4.4331698379060525,-0.061092829404936426,0.9459692409287023,0.5694444444444444,0.776123046875,0.0025442169283354343,1.0974318430743943,1.3299509513718157,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,2.6,-0.4,3000.0,7.0,0.0005187319732154986,20.898727757412964,2.7521111205665987,4.535027811537385,-0.07900612157601272,0.9379627976752338,0.5763888888888888,0.7734375,0.08489992017446235,0.832211088286199,1.3605083434612155,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,2.6,-0.6,3000.0,7.0,-0.00019390389616013063,20.514477814492366,2.6595683765781413,4.480021651362282,-0.005833616378301109,0.9295472138602964,0.5763888888888888,0.769775390625,0.0018293158889922541,0.8261939970240755,1.3440064954086846,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,2.6,-0.8,3000.0,7.0,0.0003060048332588214,20.133006924773877,2.6647468828171714,4.267109675930681,-0.05585780568044837,0.9811041284046277,0.5902777777777778,0.761474609375,0.0012595846724070656,0.988955720080255,1.280132902779204,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,3.0,-0.2,3000.0,7.0,0.00426030416756653,29.97427779035408,3.7407413354104246,6.1412083683117835,-0.0764447842042819,0.9396146472925913,0.5694444444444444,0.790771484375,0.13460576672288355,1.2516139392445744,1.842362510493535,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,3.0,-0.4,3000.0,7.0,0.0014170209003599031,29.59564515454052,3.7540141185648577,6.536242446634429,-0.04197957672938517,0.922845543802328,0.5694444444444444,0.79052734375,0.007960019782886357,1.3653854842042374,1.9608727339903285,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,3.0,-0.6,3000.0,7.0,0.00043559711221644346,29.156073727099304,3.7165802291838617,6.047717605337937,-0.04575214468178791,0.9346114720852858,0.5694444444444444,0.78759765625,0.002440999545036145,1.746695426463347,1.814315281601381,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,3.0,-0.8,3000.0,7.0,0.00048777990460123727,28.87332197106833,3.6515889124806873,5.887293468392696,-0.058702354054917076,0.952112661095026,0.5694444444444444,0.78515625,0.005083464380287888,1.508804002904934,1.7661880405178088,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,3.5,-0.2,3000.0,7.0,0.0014759277436835264,40.90827772391352,5.102036707220827,8.580327518775922,-0.03489888567848178,0.9028023622332755,0.5694444444444444,0.804443359375,0.015106583947984724,1.962652492569444,2.5740982556327765,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,3.5,-0.4,3000.0,7.0,0.0014844192451218038,40.52491610152829,5.088636898031265,8.469754043839512,-0.10334962078789854,0.9142915986654523,0.5694444444444444,0.800537109375,0.05865421691649306,2.2463421300007695,2.5409262131518533,saturated/lasing everywhere,off-unstable
zero,2.0,4.0,12.0,0.0,3.5,-0.6,3000.0,7.0,0.0009567015102705199,40.10905312672867,5.009404483329004,8.142630260749046,-0.03151452112166335,0.9052834272970028,0.5694444444444444,0.80126953125,0.04351696217567033,1.9881812016884775,2.4427890782247137,saturated/lasing everywhere,bistable
zero,2.0,4.0,12.0,0.0,3.5,-0.8,3000.0,7.0,0.001589648304442,39.850100985748014,5.006277066764101,8.432689675223779,-0.07086380731966338,0.9214555417923171,0.5694444444444444,0.802978515625,0.008786566467970897,2.5335820522015537,2.5298069025671337,saturated/lasing everywhere,bistable
